Depth_from_Surface_cm,Age_wmean,Ave_Density,Ave_Organics,MagSuscept_10^-5
236,22177.2,1.092,2.380952381,5.325
237,22307.9,1.2515,2.213343987,3.585
238,22436,1.066,3.92120075,5.76
239,22565.2,0.8776,4.181859617,4.04
240,22692.6,1.0007,6.235635055,2.117
241,22823.7,1.0402,5.441261296,1.991
242,22952.6,0.984,7.632113821,1.8015
243,23082.7,1.0512,7.610350076,2.46
244,23210.5,1.0953,6.737880033,2.155
245,23340.8,0.9916,6.746672045,2.38
246,23470.6,0.9776,7.815057283,2.39
247,23598.3,1.0758,7.306190742,2.96
248,23727.1,0.9549,8.451146717,3.585
249,23856.4,1.3243,5.534999622,3.73
250,23984.6,1.0571,8.154384637,3.56
251,24032,0.8904,6.367924528,4.73
252,24080,0.9223,8.099316925,4.16
253,24125.7,1.164,5.274914089,3.33
254,24172.2,0.8354,9.001675844,2.99
255,24216.2,0.9828,7.356532357,3.085
256,24263.9,0.7731,7.812702108,0.2075
257,24310.6,1.166,7.289879931,2.315
258,24356.2,0.7103,8.996198789,2.1935
259,24403.6,1.2189,8.343588481,2.03915
260,24451.1,1.034,7.311411992,2.779
261,24496.7,0.7002,10.22564981,3.276
262,24543.7,1.0849,9.632224168,4.55
263,24590.3,0.959,6.69447341,3.88
264,24636.9,0.8105,4.750154226,3.805
265,24683.2,0.8959,8.159392789,3.435
266,24729.4,0.8973,4.60269698,2.6
267,24776.1,0.8754,7.28809687,1.975
268,24822.7,1.0124,7.0525484,1.765
269,24868.4,0.7518,8.898643256,0.83
270,24914.3,0.7986,9.040821438,0.722
271,24960.3,0.828,10.60386473,1.22
272,25006.7,0.9142,9.33056224,NA
273,25053,0.6444,8.116076971,NA
274,25101.5,NA,NA,NA
275,25147.9,NA,NA,10.8
276,25193.7,NA,NA,9.65
277,25238.4,NA,NA,19.5
278,25286,0.4902,11.91350469,22.1
279,25332.2,0.651,12.38095238,19.3
280,25378.8,0.5916,12.76200135,20.5
281,25427.2,0.7292,13.19253977,20.65
282,25473.8,0.8397,13.31427891,20.25
283,25520.2,0.6933,11.27938843,19.3
284,25567.1,0.6832,11.92915691,19.5
285,25613.9,0.7687,12.80083257,28.7
286,25662.6,0.6006,12.28771229,69.75
287,25710.3,1.0173,11.73695075,56.7
288,25756.9,0.9039,11.98141387,46.6
289,25803.8,0.8306,12.7618589,59.2
290,25850,0.894,13.27740492,59.05
291,25897,0.8211,12.75118743,75.55
292,25944.2,0.7729,13.18411179,100.55
293,25990.9,0.8728,13.70302475,88.7
294,26036.5,0.777,14.42728443,47.1
295,26082.9,0.8987,14.4097029,25.25
296,26128.1,0.8039,13.1608409,47.4
297,26176.1,0.9023,13.25501496,54.3
298,26222,0.8645,12.63157895,42.9
299,26268.5,0.8379,13.37868481,63.25
300,26315.9,0.6916,12.70965876,77.45
301,26351.7,0.7805,11.50544523,66.85
302,26387.1,0.6129,14.21112743,37.1
303,26424.1,0.6382,14.77593231,25.85
304,26460.9,0.6634,13.7775098,21.45
305,26497.9,0.6683,14.12539279,16.7
306,26534.7,0.7704,11.95482866,13.25
307,26569.8,0.8068,12.0104115,19.1
308,26605.3,0.7471,12.08673538,19.4
309,26642.6,0.5377,11.51199554,12.05
310,26680.1,0.7307,13.08334474,11.75
311,26716.7,0.8791,13.0019338,9.8
312,26752.8,0.6934,12.66224401,12.55
313,26789,0.8279,15.19507187,11.15
314,26824.8,0.6493,14.43092561,11.35
315,26862.4,0.6567,14.19217299,11.75
316,26899,0.7554,13.86020651,10.6
317,26935.5,0.6162,15.33592989,10.05
318,26972,0.5764,14.88549618,9.55
319,27008.3,0.7197,15.03404196,9.25
320,27045.8,0.7153,17.32140361,8.6
321,27081.8,0.6573,14.95511943,8.35
322,27117.8,0.6457,16.15301223,7.95
323,27154.7,0.6116,18.11641596,9.25
324,27191.3,0.5654,15.1220375,9.25
325,27227.5,0.4041,17.64414749,8.1
326,27264.5,0.7036,18.27743036,7.45
327,27301,0.5168,17.5503096,5.375
328,27336.7,0.5268,17.25512528,7.3
329,27373.9,0.5359,19.03340175,7.75
330,27410.6,0.6407,17.29358514,7
331,27447.6,0.6262,17.5023954,7.35
332,27483.6,0.5208,17.99155146,6.7
333,27519.6,0.6012,19.96007984,5.93
334,27556.9,0.4446,19.34322987,5.23
335,27593.7,0.4806,18.2480233,5.14
336,27629.9,0.429,19.20745921,4.87
337,27666.7,0.4321,22.84900285,5.46
338,27702.7,0.4104,18.94640959,5.475
339,27738.6,0.5621,17.71133708,5.95
340,27775.4,0.5733,17.19359613,5.895
341,27812.4,0.6324,22.00066467,5.375
342,27849.1,0.4007,20.64458637,6.18
343,27885.2,0.6698,16.88113783,7.65
344,27921.6,0.6392,16.08260325,7.55
345,27957.4,0.5125,15.68780488,7.55
346,27994.6,0.4723,18.12407368,7.035
347,28030.8,0.4193,18.03005008,5.585
348,28067.8,0.4768,18.2466443,5.885
349,28103.5,0.4937,20.55904395,5.845
350,28140.1,0.4906,17.42763962,4.355
351,28172,0.3998,17.28364182,4.895
352,28204.6,0.7299,15.85148651,3.945
353,28237.3,0.479,18.62212944,4.32
354,28268.7,0.4708,17.24723874,5.325
355,28301.8,0.4343,19.27239236,5.59
356,28333.5,0.3961,18.00050492,5.98
357,28366,0.7484,16.40833779,5.56
358,28398.1,0.7365,15.0712831,5.77
359,28429.8,0.6062,14.53315737,6.45
360,28462.2,0.5921,14.91302145,6.55
361,28494.5,0.7269,15.68303756,5.325
362,28528.3,0.6701,17.86300552,6.7
363,28559.2,0.614,16.90553746,5.875
364,28591,0.6851,20.58870581,5.555
365,28624.5,0.4317,20.67503392,5.6
366,28656.8,0.4238,18.21987905,7.65
367,28687.9,0.4261,14.3862943,6.005
368,28720,0.7737,12.95075611,6.6
369,28752.4,0.5324,15.08264463,5.395
370,28784.8,0.5141,15.96965571,3.56
371,28817.3,0.513,16.41325536,4.38
372,28849.6,0.4488,15.24064171,3.63
373,28882.3,0.6281,15.36379557,4.53
374,28913.7,0.5098,16.73205179,5.105
375,28946.1,0.6153,16.41475703,4.67
376,28977.7,0.6141,15.89317701,5.94
377,29010.4,0.4195,16.75804529,3.77
378,29042.7,0.5885,17.45114698,4.13
379,29074.6,0.4909,13.26135669,5.365
380,29107,0.6329,10.82319482,4.595
381,29140.4,0.727,13.9477304,3.98
382,29172.4,0.4682,14.86544212,3.955
383,29205.2,0.6917,13.45959231,3.44
384,29237.9,0.625,13.568,4.475
385,29270.6,0.625,19.152,3.895
386,29303.9,0.6379,17.60464023,3.94
387,29336.7,0.5563,12.65504224,4.85
388,29369.6,0.5699,11.31777505,4.64
389,29402.4,0.7717,10.43151484,4.355
390,29435.9,0.372,11.61290323,4.035
391,29468.9,0.4313,12.54347322,4.08
392,29501.9,0.4863,12.6465145,2.735
393,29534.9,0.4707,13.10813682,3.335
394,29568.5,0.4061,16.42452598,5.105
395,29601,0.455,16.21978022,5.76
396,29634.7,0.5923,13.87810231,5.03
397,29668.6,0.5372,15.28294862,4.115
398,29702.5,0.4744,15.36677909,4.54
399,29735.8,0.5295,14.57979226,4.255
400,29769.7,0.5802,13.70217166,4.235
401,29787,0.5785,14.24373379,4.94
402,29803.8,0.5795,13.21829163,5.265
403,29821.3,0.3263,13.57646338,4.135
404,29838.9,0.5278,13.71731717,2.97
405,29856.4,0.4868,12.94165982,3.885
406,29874.1,0.6715,12.40506329,2.615
407,29891.5,0.5361,11.47174035,3.4
408,29909.1,0.6514,11.29874117,3.24
409,29926.6,0.5075,14.87684729,2.95
410,29944.3,0.5145,15.31584062,3.045
411,29962,0.4943,14.62674489,2.165
412,29979.4,0.4947,14.85748939,1.763
413,29997,0.5678,14.15991546,1.2
414,30014.8,0.5739,12.17982227,1.05
415,30032.5,0.6422,11.22703208,1.69
416,30050.5,0.7237,12.57427111,2.92
417,30068,0.614,12.65472313,1.565
418,30085.6,0.6167,13.2317172,1.645
419,30102.6,0.6753,12.74988894,1.805
420,30120.3,0.5704,12.41234222,1.1
421,30137.8,NA,NA,NA
422,30155.9,NA,NA,NA
423,30173.5,NA,NA,NA
424,30191.2,NA,NA,NA
425,30208.6,NA,NA,NA
426,30226.2,NA,NA,NA
427,30243.7,NA,NA,NA
428,30261.6,NA,NA,NA
429,30278.9,0.4498,14.42863495,NA
430,30296.7,0.4412,15.27651859,9.58
431,30314.5,0.5324,12.92261458,10.9
432,30332,0.3828,13.58411703,11.5
433,30349.5,0.355,14.36619718,8.93
434,30367.1,0.5047,15.27640182,4.74
435,30384.6,0.4918,14.82309882,10.8
436,30402.1,0.4202,14.20752023,10.4
437,30419.7,0.5611,13.90126537,8.52
438,30437.3,0.444,13.49099099,9.43
439,30454.9,0.3886,13.69016984,5.795
440,30472.3,0.5435,14.75620975,5.41
441,30490,0.5704,15.63814867,5.405
442,30507.4,0.4981,14.93675969,5.13
443,30524.8,0.4382,15.13007759,5.77
444,30542.1,0.3803,15.22482251,5.995
